Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (GO),Gene ontology (molecular function),Gene ontology IDs,Cross-reference (KEGG),Cross-reference (KO),Cross-reference (Pfam),yourlist:M2018112014483A1C7ED25EE8374758DF3FD545FD0244567
A0A2B4SH37,A0A2B4SH37_STYPI,unreviewed,E3 ubiquitin-protein ligase DZIP3,DZIP3 AWC38_SpisGene7402,Stylophora pistillata (Smooth cauliflower coral),962,,,ADP binding [GO:0043531]; ligase activity [GO:0016874],ADP binding [GO:0043531]; ligase activity [GO:0016874],GO:0016874; GO:0043531,,,PF00931;,A0A2B4SH37
A0A2B4S8Z1,A0A2B4S8Z1_STYPI,unreviewed,Tyrosine kinase receptor Cad96Ca,Cad96Ca AWC38_SpisGene9487,Stylophora pistillata (Smooth cauliflower coral),1177,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713],ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713],GO:0004713; GO:0005524; GO:0016021,,,PF07714;,A0A2B4S8Z1
B2BRS8,B2BRS8_AUSLA,unreviewed,Putative phospholipase A2,,Austrelaps labialis (Pygmy copperhead) (Denisonia superba),145,arachidonic acid secretion [GO:0050482]; lipid catabolic process [GO:0016042]; phospholipid metabolic process [GO:0006644],extracellular region [GO:0005576],extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; phospholipase A2 activity [GO:0004623]; arachidonic acid secretion [GO:0050482]; lipid catabolic process [GO:0016042]; phospholipid metabolic process [GO:0006644],calcium ion binding [GO:0005509]; phospholipase A2 activity [GO:0004623],GO:0004623; GO:0005509; GO:0005576; GO:0006644; GO:0016042; GO:0050482,,,PF00068;,B2BRS8
A0A2B4RQ81,A0A2B4RQ81_STYPI,unreviewed,SNARE-associated protein Snapin,SNAPIN AWC38_SpisGene17127,Stylophora pistillata (Smooth cauliflower coral),131,intracellular protein transport [GO:0006886],BLOC-1 complex [GO:0031083],BLOC-1 complex [GO:0031083]; intracellular protein transport [GO:0006886],,GO:0006886; GO:0031083,,,PF14712;,A0A2B4RQ81
A0A2B4SXV6,A0A2B4SXV6_STYPI,unreviewed,"ATP synthase subunit O, mitochondrial",Oscp AWC38_SpisGene1389,Stylophora pistillata (Smooth cauliflower coral),219,ATP synthesis coupled proton transport [GO:0015986],membrane [GO:0016020],"membrane [GO:0016020]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; ATP synthesis coupled proton transport [GO:0015986]","proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]",GO:0015986; GO:0016020; GO:0046933,,,PF00213;,A0A2B4SXV6
A0A2B4SQN8,A0A2B4SQN8_STYPI,unreviewed,GrpE protein homolog,GRPEL1 AWC38_SpisGene4263,Stylophora pistillata (Smooth cauliflower coral),236,protein folding [GO:0006457],mitochondrial matrix [GO:0005759],mitochondrial matrix [GO:0005759]; adenyl-nucleotide exchange factor activity [GO:0000774]; chaperone binding [GO:0051087]; protein homodimerization activity [GO:0042803]; protein folding [GO:0006457],adenyl-nucleotide exchange factor activity [GO:0000774]; chaperone binding [GO:0051087]; protein homodimerization activity [GO:0042803],GO:0000774; GO:0005759; GO:0006457; GO:0042803; GO:0051087,,,PF01025;,A0A2B4SQN8
V9I5J5,V9I5J5_BRABE,unreviewed,14-3-3 protein,,Branchiostoma belcheri tsingtauense,247,,,protein domain specific binding [GO:0019904],protein domain specific binding [GO:0019904],GO:0019904,,,PF00244;,V9I5J5
A7RXH8,A7RXH8_NEMVE,unreviewed,Predicted protein,v1g203613,Nematostella vectensis (Starlet sea anemone),393,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,nve:NEMVE_v1g203613;,,PF00093;,A7RXH8
A0A2B4T0D7,A0A2B4T0D7_STYPI,unreviewed,Tropomyosin beta chain,TPM2 AWC38_SpisGene996,Stylophora pistillata (Smooth cauliflower coral),310,,,,,,,,PF00261;,A0A2B4T0D7
A0A2B4S886,A0A2B4S886_STYPI,unreviewed,Carboxypeptidase (EC 3.4.16.-),SCPEP1 AWC38_SpisGene10582,Stylophora pistillata (Smooth cauliflower coral),439,,,serine-type carboxypeptidase activity [GO:0004185],serine-type carboxypeptidase activity [GO:0004185],GO:0004185,,,PF00450;,A0A2B4S886
A0A2B4SA49,A0A2B4SA49_STYPI,unreviewed,SKI/DACH domain-containing protein 1,Skida1 AWC38_SpisGene8536,Stylophora pistillata (Smooth cauliflower coral),770,,,,,,,,PF02437;,A0A2B4SA49
A7SNM1,A7SNM1_NEMVE,unreviewed,Predicted protein,v1g172541,Nematostella vectensis (Starlet sea anemone),238,protein homooligomerization [GO:0051260],,protein homooligomerization [GO:0051260],,GO:0051260,nve:NEMVE_v1g172541;,K21918;,PF02214;,A7SNM1
A0A2B4SXI4,A0A2B4SXI4_STYPI,unreviewed,Lysosome-associated membrane glycoprotein 2,LAMP2 AWC38_SpisGene1057,Stylophora pistillata (Smooth cauliflower coral),482,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,PF01299;,A0A2B4SXI4
A0A2B4S575,A0A2B4S575_STYPI,unreviewed,Galactose-1-phosphate uridylyltransferase (EC 2.7.7.12),Galt AWC38_SpisGene11844,Stylophora pistillata (Smooth cauliflower coral),368,galactose catabolic process via UDP-galactose [GO:0033499],,UDP-glucose:hexose-1-phosphate uridylyltransferase activity [GO:0008108]; zinc ion binding [GO:0008270]; galactose catabolic process via UDP-galactose [GO:0033499],UDP-glucose:hexose-1-phosphate uridylyltransferase activity [GO:0008108]; zinc ion binding [GO:0008270],GO:0008108; GO:0008270; GO:0033499,,,PF02744;PF01087;,A0A2B4S575
L7M0W9,L7M0W9_9ACAR,unreviewed,Putative tick transposon,,Rhipicephalus pulchellus,413,,,,,,,,PF01541;,L7M0W9
A0A2B4RRN6,A0A2B4RRN6_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene14419,Stylophora pistillata (Smooth cauliflower coral),330,,,,,,,,,A0A2B4RRN6
A0A2B4SE43,A0A2B4SE43_STYPI,unreviewed,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,ENPP5 AWC38_SpisGene7640,Stylophora pistillata (Smooth cauliflower coral),458,,,catalytic activity [GO:0003824],catalytic activity [GO:0003824],GO:0003824,,,PF01663;,A0A2B4SE43
A0A2B4S237,A0A2B4S237_STYPI,unreviewed,5'-3' exoribonuclease 2-like,xrn-2 AWC38_SpisGene12343,Stylophora pistillata (Smooth cauliflower coral),1260,,nucleus [GO:0005634],nucleus [GO:0005634]; 5'-3' exoribonuclease activity [GO:0004534]; nucleic acid binding [GO:0003676],5'-3' exoribonuclease activity [GO:0004534]; nucleic acid binding [GO:0003676],GO:0003676; GO:0004534; GO:0005634,,,PF00400;PF03159;,A0A2B4S237
A0A2B4SNZ5,A0A2B4SNZ5_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene4554,Stylophora pistillata (Smooth cauliflower coral),309,,,,,,,,PF00646;,A0A2B4SNZ5
A0A2B4SXP0,A0A2B4SXP0_STYPI,unreviewed,Leukocyte elastase inhibitor B,Serpinb1b AWC38_SpisGene1532,Stylophora pistillata (Smooth cauliflower coral),314,,extracellular space [GO:0005615],extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867],serine-type endopeptidase inhibitor activity [GO:0004867],GO:0004867; GO:0005615,,,PF00079;,A0A2B4SXP0
A0A2B4STR1,A0A2B4STR1_STYPI,unreviewed,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44 AWC38_SpisGene3303,Stylophora pistillata (Smooth cauliflower coral),832,,,,,,,,PF12796;PF03281;,A0A2B4STR1
A0A2B4T1A4,A0A2B4T1A4_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene565,Stylophora pistillata (Smooth cauliflower coral),959,,,"DNA binding [GO:0003677]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]","DNA binding [GO:0003677]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",GO:0003677; GO:0004553,,,PF04685;PF12215;,A0A2B4T1A4
A0A0A8ICB3,A0A0A8ICB3_ACRTE,unreviewed,N-acetyl-D-galactosamine binding lectin,AtTL-2,Acropora tenuis (Purple tipped acropora),266,,,carbohydrate binding [GO:0030246],carbohydrate binding [GO:0030246],GO:0030246,,,PF14517;,A0A0A8ICB3
A7RR70,A7RR70_NEMVE,unreviewed,Predicted protein,v1g240098,Nematostella vectensis (Starlet sea anemone),113,cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273],cytosolic large ribosomal subunit [GO:0022625],cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273],structural constituent of ribosome [GO:0003735],GO:0002181; GO:0003735; GO:0022625; GO:0042273,nve:NEMVE_v1g240098;,K02917;,PF01247;,A7RR70
A0A2B4RVC2,A0A2B4RVC2_STYPI,unreviewed,Myosin-2 essential light chain,Mlc-c AWC38_SpisGene14791,Stylophora pistillata (Smooth cauliflower coral),185,,,calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509,,,PF13833;,A0A2B4RVC2
A0A2B4SSL4,A0A2B4SSL4_STYPI,unreviewed,Tachykinin-like peptides receptor 86C,TkR86C AWC38_SpisGene3610,Stylophora pistillata (Smooth cauliflower coral),510,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930],G protein-coupled receptor activity [GO:0004930],GO:0004930; GO:0016021,,,PF00001;,A0A2B4SSL4
A0A2B4SBM5,A0A2B4SBM5_STYPI,unreviewed,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",Pten AWC38_SpisGene8858,Stylophora pistillata (Smooth cauliflower coral),667,arachidonic acid secretion [GO:0050482]; lipid catabolic process [GO:0016042]; phospholipid metabolic process [GO:0006644],extracellular region [GO:0005576]; integral component of membrane [GO:0016021],extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; phospholipase A2 activity [GO:0004623]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; arachidonic acid secretion [GO:0050482]; lipid catabolic process [GO:0016042]; phospholipid metabolic process [GO:0006644],calcium ion binding [GO:0005509]; phospholipase A2 activity [GO:0004623]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; protein tyrosine phosphatase activity [GO:0004725],GO:0004623; GO:0004725; GO:0005509; GO:0005576; GO:0006644; GO:0008138; GO:0016021; GO:0016042; GO:0050482,,,PF00782;PF06951;PF10409;,A0A2B4SBM5
A0A2B4S9C0,A0A2B4S9C0_STYPI,unreviewed,Transketolase,TKT AWC38_SpisGene10250,Stylophora pistillata (Smooth cauliflower coral),623,,,catalytic activity [GO:0003824],catalytic activity [GO:0003824],GO:0003824,,,PF02779;PF02780;PF00456;,A0A2B4S9C0
A0A2B4RK77,A0A2B4RK77_STYPI,unreviewed,"Asparagine--tRNA ligase, cytoplasmic",NARS AWC38_SpisGene19058,Stylophora pistillata (Smooth cauliflower coral),325,tRNA aminoacylation for protein translation [GO:0006418],,aminoacyl-tRNA ligase activity [GO:0004812]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; tRNA aminoacylation for protein translation [GO:0006418],aminoacyl-tRNA ligase activity [GO:0004812]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676],GO:0003676; GO:0004812; GO:0005524; GO:0006418,,,PF00152;PF01336;,A0A2B4RK77
A0A2B4SLL1,A0A2B4SLL1_STYPI,unreviewed,Uncharacterized protein C1orf198-like,AWC38_SpisGene5850,Stylophora pistillata (Smooth cauliflower coral),420,,,,,,,,PF15797;,A0A2B4SLL1
A0A2B4R7F4,A0A2B4R7F4_STYPI,unreviewed,Kelch-like protein 5,KLHL5 AWC38_SpisGene23643,Stylophora pistillata (Smooth cauliflower coral),597,,,,,,,,PF07707;PF00651;PF01344;,A0A2B4R7F4
A0A2B4SFF6,A0A2B4SFF6_STYPI,unreviewed,Growth hormone-inducible transmembrane protein,Ghitm AWC38_SpisGene8003,Stylophora pistillata (Smooth cauliflower coral),574,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,PF01027;PF00261;,A0A2B4SFF6
A0A2B4SLU0,A0A2B4SLU0_STYPI,unreviewed,Ribosome biogenesis regulatory protein,RRS1 AWC38_SpisGene5687,Stylophora pistillata (Smooth cauliflower coral),346,ribosome biogenesis [GO:0042254],nucleus [GO:0005634],nucleus [GO:0005634]; ribosome biogenesis [GO:0042254],,GO:0005634; GO:0042254,,,PF04939;,A0A2B4SLU0
A0A2B4RNK4,A0A2B4RNK4_STYPI,unreviewed,Acyl-coenzyme A thioesterase 13,ACOT13 AWC38_SpisGene16850,Stylophora pistillata (Smooth cauliflower coral),166,,,acyl-CoA hydrolase activity [GO:0047617],acyl-CoA hydrolase activity [GO:0047617],GO:0047617,,,PF03061;,A0A2B4RNK4
A0A2B4RI87,A0A2B4RI87_STYPI,unreviewed,Uncharacterized protein C11orf65-like,AWC38_SpisGene19543,Stylophora pistillata (Smooth cauliflower coral),322,,,,,,,,,A0A2B4RI87
A0A2B4T2N6,A0A2B4T2N6_STYPI,unreviewed,Pyroglutamyl-peptidase 1,Pgpep1 AWC38_SpisGene90,Stylophora pistillata (Smooth cauliflower coral),201,,cytosol [GO:0005829],cytosol [GO:0005829]; pyroglutamyl-peptidase activity [GO:0016920],pyroglutamyl-peptidase activity [GO:0016920],GO:0005829; GO:0016920,,,PF01470;,A0A2B4T2N6
A0A2B4SQG5,A0A2B4SQG5_STYPI,unreviewed,Lissencephaly-1 homolog,AWC38_SpisGene2197,Stylophora pistillata (Smooth cauliflower coral),409,cell division [GO:0051301]; establishment of mitotic spindle orientation [GO:0000132]; microtubule sliding [GO:0051012],cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule organizing center [GO:0005815],cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule organizing center [GO:0005815]; dynein complex binding [GO:0070840]; cell division [GO:0051301]; establishment of mitotic spindle orientation [GO:0000132]; microtubule sliding [GO:0051012],dynein complex binding [GO:0070840],GO:0000132; GO:0005737; GO:0005815; GO:0005874; GO:0005875; GO:0051012; GO:0051301; GO:0070840,,,PF00400;,A0A2B4SQG5
A0A2B4S7M3,A0A2B4S7M3_STYPI,unreviewed,60S ribosomal protein L10,RpL10 AWC38_SpisGene9433,Stylophora pistillata (Smooth cauliflower coral),215,translation [GO:0006412],ribosome [GO:0005840],ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],structural constituent of ribosome [GO:0003735],GO:0003735; GO:0005840; GO:0006412,,,PF00252;,A0A2B4S7M3
A7SY16,A7SY16_NEMVE,unreviewed,Predicted protein,v1g248032,Nematostella vectensis (Starlet sea anemone),102,ATP synthesis coupled proton transport [GO:0015986],"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]",proton transmembrane transporter activity [GO:0015078],GO:0000276; GO:0015078; GO:0015986,nve:NEMVE_v1g248032;,K02131;,PF05511;,A7SY16
A0A2B4T0K2,A0A2B4T0K2_STYPI,unreviewed,Methionine adenosyltransferase 2 subunit beta,mat2b AWC38_SpisGene745,Stylophora pistillata (Smooth cauliflower coral),308,,,transferase activity [GO:0016740],transferase activity [GO:0016740],GO:0016740,,,PF04321;,A0A2B4T0K2
A0A2B4SG37,A0A2B4SG37_STYPI,unreviewed,Bcl-2-likeous antagonist/killer,BAK1 AWC38_SpisGene7212,Stylophora pistillata (Smooth cauliflower coral),202,positive regulation of apoptotic process [GO:0043065],,positive regulation of apoptotic process [GO:0043065],,GO:0043065,,,PF00452;,A0A2B4SG37
A7RT62,A7RT62_NEMVE,unreviewed,Predicted protein,v1g181611,Nematostella vectensis (Starlet sea anemone),205,endosome to lysosome transport [GO:0008333]; intracellular protein transport [GO:0006886]; phagosome-lysosome fusion [GO:0090385]; Rab protein signal transduction [GO:0032482],late endosome [GO:0005770]; lysosome [GO:0005764]; phagocytic vesicle [GO:0045335]; vacuolar membrane [GO:0005774],late endosome [GO:0005770]; lysosome [GO:0005764]; phagocytic vesicle [GO:0045335]; vacuolar membrane [GO:0005774]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; endosome to lysosome transport [GO:0008333]; intracellular protein transport [GO:0006886]; phagosome-lysosome fusion [GO:0090385]; Rab protein signal transduction [GO:0032482],GTPase activity [GO:0003924]; GTP binding [GO:0005525],GO:0003924; GO:0005525; GO:0005764; GO:0005770; GO:0005774; GO:0006886; GO:0008333; GO:0032482; GO:0045335; GO:0090385,nve:NEMVE_v1g181611;,K07897;,PF00071;,A7RT62
A0A2B4RE80,A0A2B4RE80_STYPI,unreviewed,Tyrosine-protein phosphatase non-receptor type 12,Ptpn12 AWC38_SpisGene21177,Stylophora pistillata (Smooth cauliflower coral),557,,,protein tyrosine phosphatase activity [GO:0004725],protein tyrosine phosphatase activity [GO:0004725],GO:0004725,,,PF13359;PF00102;,A0A2B4RE80
E4YHL3,E4YHL3_OIKDI,unreviewed,Uncharacterized protein,GSOID_T00025031001,Oikopleura dioica (Tunicate),181,,intracellular [GO:0005622],intracellular [GO:0005622]; GTP binding [GO:0005525],GTP binding [GO:0005525],GO:0005525; GO:0005622,,,PF00025;,E4YHL3
A0A2B4SQE7,A0A2B4SQE7_STYPI,unreviewed,BTB/POZ domain-containing protein KCTD5,KCTD5 AWC38_SpisGene4361,Stylophora pistillata (Smooth cauliflower coral),201,protein homooligomerization [GO:0051260],,protein homooligomerization [GO:0051260],,GO:0051260,,,PF02214;,A0A2B4SQE7
A0A2B4SJ69,A0A2B4SJ69_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene6108,Stylophora pistillata (Smooth cauliflower coral),996,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,,A0A2B4SJ69
A7RVE8,A7RVE8_NEMVE,unreviewed,Predicted protein,v1g182399,Nematostella vectensis (Starlet sea anemone),333,protein deneddylation [GO:0000338],COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737],COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; metallopeptidase activity [GO:0008237]; NEDD8-specific protease activity [GO:0019784]; protein deneddylation [GO:0000338],metallopeptidase activity [GO:0008237]; NEDD8-specific protease activity [GO:0019784],GO:0000338; GO:0005737; GO:0008180; GO:0008237; GO:0019784,nve:NEMVE_v1g182399;,K09613;,PF01398;,A7RVE8
A0A2B4T1K0,A0A2B4T1K0_STYPI,unreviewed,60S ribosomal protein L13a,RPL13A AWC38_SpisGene521,Stylophora pistillata (Smooth cauliflower coral),201,translation [GO:0006412],large ribosomal subunit [GO:0015934],large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],structural constituent of ribosome [GO:0003735],GO:0003735; GO:0006412; GO:0015934,,,PF00572;,A0A2B4T1K0
A0A2B4RT79,A0A2B4RT79_STYPI,unreviewed,60S ribosomal protein L18,RpL18 AWC38_SpisGene15794,Stylophora pistillata (Smooth cauliflower coral),189,translation [GO:0006412],ribosome [GO:0005840],ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],structural constituent of ribosome [GO:0003735],GO:0003735; GO:0005840; GO:0006412,,,PF17135;,A0A2B4RT79
A0A2B4SJ01,A0A2B4SJ01_STYPI,unreviewed,E3 ubiquitin-protein ligase TRIM71,trim71 AWC38_SpisGene4528,Stylophora pistillata (Smooth cauliflower coral),749,,intracellular [GO:0005622],intracellular [GO:0005622]; ligase activity [GO:0016874]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270],ligase activity [GO:0016874]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270],GO:0003676; GO:0005622; GO:0008270; GO:0016874,,,PF00630;PF01436;PF00643;PF13445;,A0A2B4SJ01
A0A2B4RQX8,A0A2B4RQX8_STYPI,unreviewed,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42),IDH1 AWC38_SpisGene16391,Stylophora pistillata (Smooth cauliflower coral),415,isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099],,isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099],isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287],GO:0000287; GO:0004450; GO:0006099; GO:0006102; GO:0051287,,,PF00180;,A0A2B4RQX8
A0A2B4RE77,A0A2B4RE77_STYPI,unreviewed,Neurogenic locus notch-like protein 2 (Fragment),NOTCH2 AWC38_SpisGene19044,Stylophora pistillata (Smooth cauliflower coral),1247,,,calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509,,,PF00008;PF12661;,A0A2B4RE77
A0A2B4SKN0,A0A2B4SKN0_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene5564,Stylophora pistillata (Smooth cauliflower coral),363,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,,A0A2B4SKN0
A0A2B4SVQ3,A0A2B4SVQ3_STYPI,unreviewed,Integrin-linked protein kinase,ILK AWC38_SpisGene1686,Stylophora pistillata (Smooth cauliflower coral),448,integrin-mediated signaling pathway [GO:0007229],,ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; integrin-mediated signaling pathway [GO:0007229],ATP binding [GO:0005524]; protein kinase activity [GO:0004672],GO:0004672; GO:0005524; GO:0007229,,,PF12796;PF07714;,A0A2B4SVQ3
A0A2B4RDC1,A0A2B4RDC1_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene20639,Stylophora pistillata (Smooth cauliflower coral),407,,,,,,,,,A0A2B4RDC1
